timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 12:22:18.137, 1515, 68, 567.65, 97
2026/07/21 12:22:19.276, 1635, 68, 565.31, 98
2026/07/21 12:22:20.414, 1530, 68, 568.93, 97
2026/07/21 12:22:21.555, 1530, 68, 566.89, 97
2026/07/21 12:22:22.692, 1605, 67, 568.47, 98
2026/07/21 12:22:23.826, 1530, 68, 565.27, 98
2026/07/21 12:22:24.967, 1530, 68, 569.04, 98
2026/07/21 12:22:26.108, 1605, 68, 568.55, 97
2026/07/21 12:22:27.244, 1545, 68, 565.52, 97
2026/07/21 12:22:28.382, 1740, 68, 562.20, 90
2026/07/21 12:22:29.523, 1515, 64, 471.81, 58
2026/07/21 12:22:30.662, 1605, 67, 568.16, 98
2026/07/21 12:22:31.805, 1530, 68, 568.85, 98
2026/07/21 12:22:32.946, 1530, 68, 564.63, 98
2026/07/21 12:22:34.087, 1620, 68, 569.54, 98
2026/07/21 12:22:35.225, 1515, 68, 568.05, 96
2026/07/21 12:22:36.369, 1815, 57, 420.66, 0
2026/07/21 12:22:37.510, 1830, 52, 158.00, 0
2026/07/21 12:22:38.651, 1830, 51, 155.91, 0
2026/07/21 12:22:39.795, 1830, 51, 157.62, 0
2026/07/21 12:22:41.086, 1830, 50, 158.72, 0
2026/07/21 12:22:42.369, 1830, 50, 158.31, 0
2026/07/21 12:22:43.505, 1830, 50, 158.17, 0
2026/07/21 12:22:44.645, 1830, 50, 157.87, 0
2026/07/21 12:22:45.783, 1830, 49, 157.79, 0
2026/07/21 12:22:46.925, 1830, 49, 157.70, 0
2026/07/21 12:22:48.063, 1830, 49, 157.50, 0
2026/07/21 12:22:49.201, 1830, 49, 157.42, 0
2026/07/21 12:22:50.345, 1830, 49, 157.32, 0
2026/07/21 12:22:51.484, 1830, 49, 157.18, 0
2026/07/21 12:22:52.626, 1830, 49, 154.71, 0
2026/07/21 12:22:53.825, 1830, 50, 178.39, 27
2026/07/21 12:22:55.009, 1575, 62, 391.70, 98
2026/07/21 12:22:56.147, 1485, 65, 570.67, 98
2026/07/21 12:22:57.283, 1455, 66, 562.67, 98
2026/07/21 12:22:58.423, 1500, 67, 562.41, 98
2026/07/21 12:22:59.559, 1470, 67, 565.42, 98
2026/07/21 12:23:00.695, 1455, 65, 466.77, 96
2026/07/21 12:23:01.837, 1455, 67, 563.65, 99
2026/07/21 12:23:02.974, 1470, 68, 562.16, 98
2026/07/21 12:23:04.114, 1500, 68, 566.62, 98
2026/07/21 12:23:05.253, 1500, 68, 567.73, 98
2026/07/21 12:23:06.389, 1500, 68, 566.91, 98
2026/07/21 12:23:07.525, 1500, 68, 567.09, 99
2026/07/21 12:23:08.657, 1470, 68, 554.75, 98
2026/07/21 12:23:09.795, 1500, 68, 564.25, 99
2026/07/21 12:23:10.936, 1575, 68, 576.52, 98
2026/07/21 12:23:12.077, 1815, 66, 539.25, 94
2026/07/21 12:23:13.216, 1830, 65, 523.76, 94
2026/07/21 12:23:14.357, 1830, 65, 523.02, 93
2026/07/21 12:23:15.496, 1830, 66, 523.22, 95
2026/07/21 12:23:16.638, 1830, 65, 514.41, 94
2026/07/21 12:23:17.778, 1830, 64, 490.81, 93
2026/07/21 12:23:18.916, 1830, 64, 489.82, 94
2026/07/21 12:23:20.054, 1830, 64, 489.34, 95
2026/07/21 12:23:21.194, 1830, 64, 490.37, 94
2026/07/21 12:23:22.330, 1830, 64, 489.90, 94
2026/07/21 12:23:23.476, 1830, 53, 239.37, 0
2026/07/21 12:23:24.673, 1830, 51, 156.80, 0
2026/07/21 12:23:25.815, 1830, 51, 158.87, 0
2026/07/21 12:23:26.958, 1830, 50, 158.59, 0
2026/07/21 12:23:28.583, 1830, 50, 158.11, 0
2026/07/21 12:23:29.724, 1830, 50, 157.88, 0
2026/07/21 12:23:30.863, 1830, 49, 157.82, 0
2026/07/21 12:23:32.000, 1830, 49, 157.62, 0
2026/07/21 12:23:33.140, 1830, 49, 157.43, 0
2026/07/21 12:23:34.284, 1830, 49, 157.25, 0
2026/07/21 12:23:35.426, 1830, 49, 157.06, 0
