timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 11:19:31.001, 1980, 50, 164.79, 0
2026/07/21 11:19:32.172, 1425, 61, 359.73, 98
2026/07/21 11:19:33.349, 1890, 63, 507.05, 97
2026/07/21 11:19:34.520, 1500, 66, 503.08, 90
2026/07/21 11:19:35.692, 1440, 67, 522.20, 100
2026/07/21 11:19:36.868, 1800, 65, 517.76, 100
2026/07/21 11:19:38.044, 1695, 67, 549.95, 97
2026/07/21 11:19:39.223, 1455, 69, 543.50, 94
2026/07/21 11:19:40.402, 1635, 69, 544.26, 99
2026/07/21 11:19:41.587, 1785, 67, 538.03, 100
2026/07/21 11:19:42.769, 1755, 68, 543.80, 95
2026/07/21 11:19:43.944, 1515, 69, 547.08, 94
2026/07/21 11:19:45.123, 1740, 67, 549.95, 95
2026/07/21 11:19:46.299, 1470, 69, 545.18, 100
2026/07/21 11:19:47.473, 1665, 68, 497.22, 91
2026/07/21 11:19:48.655, 1500, 67, 499.81, 74
2026/07/21 11:19:49.831, 1500, 69, 539.62, 94
2026/07/21 11:19:51.011, 1515, 66, 356.26, 50
2026/07/21 11:19:52.190, 1860, 65, 481.12, 92
2026/07/21 11:19:53.370, 1575, 66, 479.56, 80
2026/07/21 11:19:54.544, 1500, 67, 481.01, 96
2026/07/21 11:19:55.715, 1920, 65, 485.04, 87
2026/07/21 11:19:56.897, 1530, 68, 538.64, 93
2026/07/21 11:19:58.076, 1560, 68, 541.78, 97
2026/07/21 11:19:59.254, 1515, 69, 538.10, 95
2026/07/21 11:20:00.433, 1515, 68, 548.17, 95
2026/07/21 11:20:01.614, 1530, 69, 539.66, 94
2026/07/21 11:20:02.798, 1755, 67, 546.15, 100
2026/07/21 11:20:03.979, 1710, 69, 539.82, 100
2026/07/21 11:20:05.155, 1530, 69, 543.82, 93
2026/07/21 11:20:06.334, 1575, 69, 526.92, 100
2026/07/21 11:20:07.511, 1515, 68, 509.08, 89
2026/07/21 11:20:08.697, 1725, 69, 541.35, 97
2026/07/21 11:20:09.884, 1530, 69, 544.53, 93
2026/07/21 11:20:11.043, 1980, 54, 146.15, 0
2026/07/21 11:20:12.204, 1980, 52, 144.84, 1
2026/07/21 11:20:13.515, 1980, 52, 147.91, 0
2026/07/21 11:20:14.693, 345, 49, 102.61, 0
2026/07/21 11:20:15.946, 345, 48, 89.60, 0
2026/07/21 11:20:17.684, 345, 48, 89.50, 0
2026/07/21 11:20:18.879, 345, 47, 89.47, 0
2026/07/21 11:20:20.061, 345, 47, 89.62, 0
