model,source,value
gptoss-bf16-1nic,Baseline,1580.9321403503418
gptoss-bf16-1nic,Baseline,1580.9080600738525
gptoss-bf16-1nic,Baseline,1579.4625282287598
gptoss-bf16-1nic,Baseline,1579.432725906372
gptoss-bf16-1nic,Baseline,1579.4129371643066
gptoss-bf16-1nic,Baseline,1580.876350402832
gptoss-bf16-1nic,Baseline,1579.5412063598633
gptoss-bf16-1nic,Baseline,1580.4364681243896
gptoss-bf16-1nic,Baseline,1579.634666442871
gptoss-bf16-1nic,Baseline,1580.538034439087
gptoss-bf16-1nic,Baseline,1579.2291164398193
gptoss-bf16-1nic,Baseline,1580.2085399627686
gptoss-bf16-1nic,Baseline,1580.1589488983154
gptoss-bf16-1nic,Baseline,1579.8161029815674
gptoss-bf16-1nic,Baseline,1579.9658298492432
gptoss-bf16-1nic,Baseline,1579.6995162963867
gptoss-bf16-1nic,Baseline,1579.5891284942627
gptoss-bf16-1nic,Baseline,2269.5016860961914
gptoss-bf16-1nic,Simulated,1632.627007502513
gptoss-bf16,Baseline,765.3040885925293
gptoss-bf16,Baseline,765.629768371582
gptoss-bf16,Baseline,764.7948265075684
gptoss-bf16,Baseline,764.040470123291
gptoss-bf16,Baseline,764.2335891723633
gptoss-bf16,Baseline,764.5256519317627
gptoss-bf16,Baseline,764.4555568695068
gptoss-bf16,Baseline,762.4530792236328
gptoss-bf16,Baseline,763.4031772613525
gptoss-bf16,Baseline,764.4522190093994
gptoss-bf16,Baseline,763.7457847595215
gptoss-bf16,Baseline,763.848066329956
gptoss-bf16,Baseline,762.5744342803955
gptoss-bf16,Baseline,763.2811069488525
gptoss-bf16,Baseline,764.5242214202881
gptoss-bf16,Baseline,764.8553848266602
gptoss-bf16,Baseline,764.3287181854248
gptoss-bf16,Baseline,764.2583847045898
gptoss-bf16,Baseline,763.838529586792
gptoss-bf16,Baseline,764.0564441680908
gptoss-bf16,Baseline,762.8750801086426
gptoss-bf16,Baseline,770.2324390411377
gptoss-bf16,Baseline,764.8987770080566
gptoss-bf16,Baseline,1975.6317138671875
gptoss-bf16,Baseline,763.0393505096436
gptoss-bf16,Baseline,765.5870914459229
gptoss-bf16,Baseline,763.390302658081
gptoss-bf16,Baseline,765.5317783355713
gptoss-bf16,Baseline,768.0747509002686
gptoss-bf16,Baseline,1959.9583148956299
gptoss-bf16,Simulated,742.5603455348512
gptoss-fp8,Baseline,760.0176334381104
gptoss-fp8,Baseline,756.0949325561523
gptoss-fp8,Baseline,754.4803619384766
gptoss-fp8,Baseline,754.9560070037842
gptoss-fp8,Baseline,754.711389541626
gptoss-fp8,Baseline,754.4279098510742
gptoss-fp8,Baseline,757.2846412658691
gptoss-fp8,Baseline,755.0909519195557
gptoss-fp8,Baseline,754.8463344573975
gptoss-fp8,Baseline,756.7088603973389
gptoss-fp8,Baseline,2018.2554721832275
gptoss-fp8,Baseline,755.2943229675293
gptoss-fp8,Baseline,754.5304298400879
gptoss-fp8,Baseline,754.1875839233398
gptoss-fp8,Baseline,1434.2844486236572
gptoss-fp8,Baseline,755.3720474243164
gptoss-fp8,Baseline,757.1191787719727
gptoss-fp8,Baseline,755.1767826080322
gptoss-fp8,Baseline,754.5974254608154
gptoss-fp8,Baseline,754.0163993835449
gptoss-fp8,Baseline,755.6195259094238
gptoss-fp8,Baseline,756.1416625976562
gptoss-fp8,Baseline,756.6165924072266
gptoss-fp8,Baseline,755.0044059753418
gptoss-fp8,Baseline,754.7166347503662
gptoss-fp8,Baseline,757.2982311248779
gptoss-fp8,Baseline,754.9431324005127
gptoss-fp8,Baseline,755.9478282928467
gptoss-fp8,Baseline,754.9543380737305
gptoss-fp8,Baseline,757.0858001708984
gptoss-fp8,Simulated,752.4856878018493
